scan 19 window-graph-isomorphism-p | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 20 window-catalan-dickson | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 21 window-odd-weird | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 22 window-jacobian | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 23 window-erdos-gyarfas | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 24 window-hadwiger-covering | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 25 window-projective-plane-12 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 26 window-hot-spots | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 27 window-conway-amusical | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 28 window-pi-normal@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 4 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 29 window-furstenberg-x2x3 | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 30 window-hadwiger-nelson | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 31 map-3n-minus-1 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH refuted | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 32 window-mahler-volume | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 33 window-lovasz-hamiltonian | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 34 window-sunflower | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 35 window-kakeya-higher | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 36 window-five-x-plus-one | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 37 window-total-coloring | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 38 window-mahler-3-2@3 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 39 window-lychrel-196 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 40 window-borsuk-low-dimensions | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 41 window-sidorenko | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 4 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 42 window-ramsey-r55 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 43 window-matrix-multiplication-omega | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 44 window-unique-games | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 45 window-bochner-riesz | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 46 window-catalan-constant | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 47 window-moore-graph-57 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
